時間,設備,值
2024-10-19 14:24:25,SA-43/TEMPERATURE,29.85
2024-10-19 14:24:33,SA-43/TEMPERATURE,28.92
2024-10-19 14:24:35,SA-43/TEMPERATURE,29.85
2024-10-19 14:24:39,SA-43/TEMPERATURE,29.39
2024-10-19 14:24:43,SA-43/TEMPERATURE,29.85
2024-10-19 14:24:47,SA-43/TEMPERATURE,29.39
2024-10-19 14:24:51,SA-43/TEMPERATURE,29.85
2024-10-19 14:25:09,SA-43/TEMPERATURE,29.39
2024-10-19 14:25:17,SA-43/TEMPERATURE,29.85
2024-10-19 14:25:31,SA-43/TEMPERATURE,28.92
2024-10-19 14:25:33,SA-43/TEMPERATURE,29.39
2024-10-19 14:25:35,SA-43/TEMPERATURE,29.85
2024-10-19 14:25:41,SA-43/TEMPERATURE,29.39
2024-10-19 14:25:43,SA-43/TEMPERATURE,29.85
2024-10-19 14:25:45,SA-43/TEMPERATURE,29.39
2024-10-19 14:25:47,SA-43/TEMPERATURE,29.85
2024-10-19 14:26:33,SA-43/TEMPERATURE,29.39
2024-10-19 14:26:35,SA-43/TEMPERATURE,29.85
2024-10-19 14:26:57,SA-43/TEMPERATURE,29.39
2024-10-19 14:26:59,SA-43/TEMPERATURE,29.85
2024-10-19 14:27:03,SA-43/TEMPERATURE,29.39
2024-10-19 14:27:05,SA-43/TEMPERATURE,29.85
2024-10-19 14:27:15,SA-43/TEMPERATURE,29.39
2024-10-19 14:27:17,SA-43/TEMPERATURE,29.85
2024-10-19 14:27:49,SA-43/TEMPERATURE,29.39
2024-10-19 14:27:55,SA-43/TEMPERATURE,29.85
2024-10-19 14:28:01,SA-43/TEMPERATURE,29.39
2024-10-19 14:28:03,SA-43/TEMPERATURE,29.85
2024-10-19 14:28:11,SA-43/TEMPERATURE,29.39
2024-10-19 14:28:13,SA-43/TEMPERATURE,29.85
2024-10-19 14:28:35,SA-43/TEMPERATURE,28.92
2024-10-19 14:28:37,SA-43/TEMPERATURE,29.85
2024-10-19 14:28:39,SA-43/TEMPERATURE,29.39
2024-10-19 14:28:41,SA-43/TEMPERATURE,29.85
2024-10-19 14:29:03,SA-43/TEMPERATURE,29.39
2024-10-19 14:29:07,SA-43/TEMPERATURE,29.85
2024-10-19 14:29:13,SA-43/TEMPERATURE,28.92
2024-10-19 14:29:15,SA-43/TEMPERATURE,29.85
2024-10-19 14:29:17,SA-43/TEMPERATURE,29.39
2024-10-19 14:29:19,SA-43/TEMPERATURE,29.85
2024-10-19 14:29:23,SA-43/TEMPERATURE,28.92
2024-10-19 14:29:25,SA-43/TEMPERATURE,29.39
2024-10-19 14:29:27,SA-43/TEMPERATURE,29.85
2024-10-19 14:29:33,SA-43/TEMPERATURE,29.39
2024-10-19 14:29:35,SA-43/TEMPERATURE,29.85
2024-10-19 14:30:07,SA-43/TEMPERATURE,29.39
2024-10-19 14:30:09,SA-43/TEMPERATURE,29.85
2024-10-19 14:30:13,SA-43/TEMPERATURE,29.39
2024-10-19 14:30:15,SA-43/TEMPERATURE,29.85
2024-10-19 14:30:37,SA-43/TEMPERATURE,28.92
2024-10-19 14:30:39,SA-43/TEMPERATURE,29.85
2024-10-19 14:30:41,SA-43/TEMPERATURE,29.39
2024-10-19 14:30:43,SA-43/TEMPERATURE,29.85
2024-10-19 14:30:57,SA-43/TEMPERATURE,28.92
2024-10-19 14:30:59,SA-43/TEMPERATURE,29.85
2024-10-19 14:31:15,SA-43/TEMPERATURE,29.39
2024-10-19 14:31:17,SA-43/TEMPERATURE,29.85
2024-10-19 14:31:19,SA-43/TEMPERATURE,28.92
2024-10-19 14:31:21,SA-43/TEMPERATURE,29.85
2024-10-19 14:31:23,SA-43/TEMPERATURE,29.39
2024-10-19 14:31:27,SA-43/TEMPERATURE,29.85
2024-10-19 14:31:31,SA-43/TEMPERATURE,28.92
2024-10-19 14:31:33,SA-43/TEMPERATURE,29.85
2024-10-19 14:31:53,SA-43/TEMPERATURE,29.39
2024-10-19 14:31:55,SA-43/TEMPERATURE,29.85
2024-10-19 14:32:21,SA-43/TEMPERATURE,29.39
2024-10-19 14:32:23,SA-43/TEMPERATURE,29.85
2024-10-19 14:32:33,SA-43/TEMPERATURE,28.92
2024-10-19 14:32:35,SA-43/TEMPERATURE,29.85
2024-10-19 14:32:45,SA-43/TEMPERATURE,29.39
2024-10-19 14:32:47,SA-43/TEMPERATURE,29.85
2024-10-19 14:32:51,SA-43/TEMPERATURE,29.39
2024-10-19 14:32:53,SA-43/TEMPERATURE,29.85
2024-10-19 14:32:57,SA-43/TEMPERATURE,29.39
2024-10-19 14:32:59,SA-43/TEMPERATURE,29.85
2024-10-19 14:33:05,SA-43/TEMPERATURE,29.39
2024-10-19 14:33:07,SA-43/TEMPERATURE,29.85
2024-10-19 14:33:09,SA-43/TEMPERATURE,28.92
2024-10-19 14:33:11,SA-43/TEMPERATURE,29.39
2024-10-19 14:33:13,SA-43/TEMPERATURE,29.85
2024-10-19 14:33:15,SA-43/TEMPERATURE,28.92
2024-10-19 14:33:17,SA-43/TEMPERATURE,29.85
2024-10-19 14:33:19,SA-43/TEMPERATURE,29.39
2024-10-19 14:33:21,SA-43/TEMPERATURE,29.85
2024-10-19 14:33:29,SA-43/TEMPERATURE,29.39
2024-10-19 14:33:31,SA-43/TEMPERATURE,29.85
2024-10-19 14:33:37,SA-43/TEMPERATURE,29.39
2024-10-19 14:33:39,SA-43/TEMPERATURE,29.85
2024-10-19 14:33:45,SA-43/TEMPERATURE,29.39
2024-10-19 14:33:47,SA-43/TEMPERATURE,28.92
2024-10-19 14:33:49,SA-43/TEMPERATURE,29.85
2024-10-19 14:33:55,SA-43/TEMPERATURE,29.39
2024-10-19 14:33:59,SA-43/TEMPERATURE,29.85
2024-10-19 14:34:01,SA-43/TEMPERATURE,29.39
2024-10-19 14:34:03,SA-43/TEMPERATURE,29.85
2024-10-19 14:34:27,SA-43/TEMPERATURE,29.39
2024-10-19 14:34:29,SA-43/TEMPERATURE,29.85
2024-10-19 14:34:31,SA-43/TEMPERATURE,29.39
2024-10-19 14:34:33,SA-43/TEMPERATURE,29.85
2024-10-19 14:34:41,SA-43/TEMPERATURE,29.39
2024-10-19 14:34:45,SA-43/TEMPERATURE,29.85
2024-10-19 14:34:49,SA-43/TEMPERATURE,29.39
2024-10-19 14:34:51,SA-43/TEMPERATURE,29.85
2024-10-19 14:35:03,SA-43/TEMPERATURE,29.39
2024-10-19 14:35:05,SA-43/TEMPERATURE,29.85
2024-10-19 14:35:37,SA-43/TEMPERATURE,29.39
2024-10-19 14:35:39,SA-43/TEMPERATURE,29.85
2024-10-19 14:35:43,SA-43/TEMPERATURE,29.39
2024-10-19 14:35:49,SA-43/TEMPERATURE,28.92
2024-10-19 14:35:51,SA-43/TEMPERATURE,29.39
2024-10-19 14:35:53,SA-43/TEMPERATURE,29.85
2024-10-19 14:35:59,SA-43/TEMPERATURE,28.92
2024-10-19 14:36:01,SA-43/TEMPERATURE,29.39
2024-10-19 14:36:03,SA-43/TEMPERATURE,29.85
2024-10-19 14:36:05,SA-43/TEMPERATURE,29.39
2024-10-19 14:36:07,SA-43/TEMPERATURE,29.85
2024-10-19 14:36:09,SA-43/TEMPERATURE,28.92
2024-10-19 14:36:11,SA-43/TEMPERATURE,29.85
2024-10-19 14:36:13,SA-43/TEMPERATURE,29.39
2024-10-19 14:36:17,SA-43/TEMPERATURE,29.85
2024-10-19 14:36:21,SA-43/TEMPERATURE,28.92
2024-10-19 14:36:23,SA-43/TEMPERATURE,29.85
2024-10-19 14:36:29,SA-43/TEMPERATURE,29.39
2024-10-19 14:36:31,SA-43/TEMPERATURE,29.85
2024-10-19 14:36:33,SA-43/TEMPERATURE,29.39
2024-10-19 14:36:35,SA-43/TEMPERATURE,29.85
2024-10-19 14:36:45,SA-43/TEMPERATURE,29.39
2024-10-19 14:36:47,SA-43/TEMPERATURE,29.85
2024-10-19 14:36:53,SA-43/TEMPERATURE,29.39
2024-10-19 14:36:57,SA-43/TEMPERATURE,29.85
2024-10-19 14:37:11,SA-43/TEMPERATURE,29.39
2024-10-19 14:37:13,SA-43/TEMPERATURE,29.85
2024-10-19 14:37:23,SA-43/TEMPERATURE,28.92
2024-10-19 14:37:25,SA-43/TEMPERATURE,29.39
2024-10-19 14:37:27,SA-43/TEMPERATURE,29.85
2024-10-19 14:37:31,SA-43/TEMPERATURE,29.39
2024-10-19 14:37:33,SA-43/TEMPERATURE,29.85
2024-10-19 14:37:35,SA-43/TEMPERATURE,28.92
2024-10-19 14:37:37,SA-43/TEMPERATURE,29.85
2024-10-19 14:37:41,SA-43/TEMPERATURE,29.39
2024-10-19 14:37:43,SA-43/TEMPERATURE,29.85
2024-10-19 14:37:53,SA-43/TEMPERATURE,29.39
2024-10-19 14:37:55,SA-43/TEMPERATURE,29.85
2024-10-19 14:37:59,SA-43/TEMPERATURE,29.39
2024-10-19 14:38:03,SA-43/TEMPERATURE,29.85
2024-10-19 14:38:13,SA-43/TEMPERATURE,28.92
2024-10-19 14:38:15,SA-43/TEMPERATURE,29.85
2024-10-19 14:38:17,SA-43/TEMPERATURE,29.39
2024-10-19 14:38:21,SA-43/TEMPERATURE,29.85
2024-10-19 14:38:45,SA-43/TEMPERATURE,28.92
2024-10-19 14:38:47,SA-43/TEMPERATURE,29.85
2024-10-19 14:39:01,SA-43/TEMPERATURE,29.39
2024-10-19 14:39:03,SA-43/TEMPERATURE,29.85
2024-10-19 14:39:09,SA-43/TEMPERATURE,29.39
2024-10-19 14:39:11,SA-43/TEMPERATURE,28.92
2024-10-19 14:39:13,SA-43/TEMPERATURE,29.85
2024-10-19 14:39:27,SA-43/TEMPERATURE,29.39
2024-10-19 14:39:31,SA-43/TEMPERATURE,29.85
2024-10-19 14:39:37,SA-43/TEMPERATURE,29.39
2024-10-19 14:39:39,SA-43/TEMPERATURE,29.85
2024-10-19 14:40:07,SA-43/TEMPERATURE,29.39
2024-10-19 14:40:09,SA-43/TEMPERATURE,29.85
2024-10-19 14:40:27,SA-43/TEMPERATURE,29.39
2024-10-19 14:40:29,SA-43/TEMPERATURE,29.85
2024-10-19 14:40:41,SA-43/TEMPERATURE,29.39
2024-10-19 14:40:43,SA-43/TEMPERATURE,29.85
2024-10-19 14:40:53,SA-43/TEMPERATURE,29.39
2024-10-19 14:40:57,SA-43/TEMPERATURE,29.85
